"pathway","cell_type","outdegree","indegree","flowbet","info"
"APP","Fibroblasts",0.000304035380294755,0.000149708214695794,0.00076303206120118,0.0520399202288923
"APP","Mast cells",0,0,0,0
"APP","Monocytes",0,0.000683578801935444,0,0.04999886146589
"APP","Myeloid (Mac/DC)",0,0.00389311170581246,0,0.0989094564117043
"APP","NK cells",0,0.000423670962085147,0,0.0368440615199611
"APP","PDC/Plasma cells",4.90855135950132e-05,7.33142276021888e-05,0.000253656426653483,0.0254432521977278
"APP","Pericytes",0.00320940669829594,0.000213525833063537,0.00222857421415751,0.124341163126498
"APP","TNK cells",0,0.000744760310176553,0,0
"APP","Tregs",0,0.000430231583834528,0,0
"CypA","B cells",0.000288604119571427,0,0,0
"CypA","Basal epithelial",0.000606493912755268,0.000647608659048665,0.00245704618087413,0.0846059176628758
"CypA","CD4 T cells (Th)",0.00119885927501797,0,0,0
"CypA","CD8 T cells (CTL)",0.00345666891048485,0,0,0.0532766919256734
"CypA","Endothelial cells",0.00125477684463348,0.00161068381383744,0.00508205198472673,0.101889165383646
"CypA","Epithelial cells",0.00116919434054554,0.00416495576323568,0.00839833513155173,0.112050976199025
"CypA","Fibroblasts",0.000220998210679954,0.0011417211440866,0.00258863183979321,0.0878600605972175
"CypA","Mast cells",0.000204077407276395,0,0,0.0437372671975541
"CypA","Monocytes",0.000372543871278184,0,0,0.0619499561606147
"CypA","Myeloid (Mac/DC)",0.00130301009229573,0,0,0.0948870303310054
"CypA","NK cells",0.000627157968816068,0.000841413210713004,0.00283691587554466,0.087035444323795
"CypA","PDC/Plasma cells",3.83388901149799e-05,0,0,0.0163863714999084
"CypA","Pericytes",0.000944160029756036,0.00404064077598058,0.00761970384229022,0.104554074949488
"CypA","TNK cells",0.000463488122848679,0,0,0.0815817324436626
"CypA","Tregs",0.000298651370827398,0,0,0.070185311325534
"COLLAGEN","B cells",0,0.000159644885353338,0,0.070961926587831
"COLLAGEN","Basal epithelial",0,0.000330857250995411,0,0.082086317010461
"COLLAGEN","CD4 T cells (Th)",0,0.00193409028019185,0,0.0935063174488705
"COLLAGEN","CD8 T cells (CTL)",0,0.00115665967570985,0,0.0917275031031531
"COLLAGEN","Endothelial cells",0.00130480471779122,0,0,0.0872865287067436
"COLLAGEN","Epithelial cells",0,0.000465151789928992,0,0.0838246400080174
"COLLAGEN","Fibroblasts",0.00212518606471477,4.40719504796286e-05,0.000368812344626651,0.0913896044984241
"COLLAGEN","Mast cells",0,0.00048638485830709,0,0.0792405587997264
"COLLAGEN","Monocytes",0,0.000488303893353106,0,0.0792896941371815
"COLLAGEN","Myeloid (Mac/DC)",0,0.000286584047345886,0,0.0704394359936873
"COLLAGEN","NK cells",0,0.000223973277645775,0,0.0655799440678302
"COLLAGEN","PDC/Plasma cells",0,6.29316972691147e-06,0,0.0083043491656363
