"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Pericytes","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000603037597851528,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"B cells","Monocytes","MIF","CD74_CXCR4",4.02491084188651e-05,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","Monocytes","MIF","CD74_CXCR4",2.90133586316173e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD4 T cells (Th)","Monocytes","MIF","CD74_CXCR4",0.000165069724095861,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD8 T cells (CTL)","Monocytes","MIF","CD74_CXCR4",0.000161999126414868,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","Monocytes","MIF","CD74_CXCR4",7.71875341914063e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","Monocytes","MIF","CD74_CXCR4",6.3930990006649e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","Monocytes","MIF","CD74_CXCR4",4.07818265224061e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","Monocytes","MIF","CD74_CXCR4",2.83706806741315e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","Monocytes","MIF","CD74_CXCR4",1.00483223117305e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","Monocytes","MIF","CD74_CXCR4",9.91907600920561e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","Monocytes","MIF","CD74_CXCR4",4.66886561459275e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","Monocytes","MIF","CD74_CXCR4",5.58885256390544e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"B cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000189654318152859,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000134010708762688,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD4 T cells (Th)","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000777708276093113,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD8 T cells (CTL)","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000762544522598558,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000358650292503248,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
