"pathway","cell_type","outdegree","indegree","flowbet","info"
"MK","CD4 T cells (Th)",0,0.00049183066643966,0,0.101301749222293
"MK","CD8 T cells (CTL)",0,0.000484481292740974,0,0.101235496438681
"MK","Endothelial cells",0.000333088111817583,0.000378869847981834,0.00157950303514772,0.102734290726174
"MK","Epithelial cells",0.000804402015498484,0.00014990136940537,0.00134517873803549,0.102943338776932
"MK","Fibroblasts",0.000796811230209701,0.000151138930183024,0.00135220747897756,0.102916745040595
"MK","Mast cells",0,9.38341635600782e-05,0,0.0501437343503389
"MK","Monocytes",0,3.54388561275512e-05,0,0.0283062220369849
"MK","Myeloid (Mac/DC)",0,0.000142016181400481,0,0.0604684405681309
"MK","NK cells",0,8.70211831789038e-05,0,0.0483440114212132
"MK","PDC/Plasma cells",0,1.0339785254485e-05,0,0.0131717658800377
"MK","Pericytes",0.000513528807349375,0.000197883486492241,0.00133849938352259,0.103643493522889
"MK","TNK cells",0,0.000135999164151441,0,0
"MK","Tregs",0,0.000161605903258189,0,0
"GALECTIN","B cells",0,5.71819124132015e-05,0,0.0902629385089192
"GALECTIN","Basal epithelial",0,1.12081955915494e-05,0,0.0341882422689368
"GALECTIN","CD4 T cells (Th)",0,0.000733436552913397,0,0.150881252786972
"GALECTIN","CD8 T cells (CTL)",0,0.000540118607962164,0,0.14783257365995
"GALECTIN","Endothelial cells",0,1.69180793942296e-05,0,0.045566349986791
"GALECTIN","Epithelial cells",0,3.68589369680319e-05,0,0.073119895232727
"GALECTIN","Fibroblasts",0,1.27966289738211e-05,0,0.0375684245285235
"GALECTIN","Mast cells",0,0.000114379433074808,0,0.115188614047836
"GALECTIN","Monocytes",0.000522692266644568,7.22789846283229e-05,0.000307958191545396,0.146829366188659
"GALECTIN","Myeloid (Mac/DC)",0.00186625347370691,0.000107847639589658,0.000252566153269774,0.158562342790685
"GALECTIN","NK cells",0,7.94814998488932e-05,0,0
"GALECTIN","PDC/Plasma cells",0,1.05523055946994e-05,0,0
"GALECTIN","Pericytes",0,3.60061277210702e-05,0,0
"GALECTIN","TNK cells",0,0.00025792147349164,0,0
"GALECTIN","Tregs",0,0.000301959362185998,0,0
"LCK","B cells",0,0,0,0
"LCK","Basal epithelial",0,0,0,0
"LCK","CD4 T cells (Th)",0.000695809886510883,0,0,0
"LCK","CD8 T cells (CTL)",0.000741662547210891,0.00171851316470623,0.000314138671390617,0.486641118561906
"LCK","Endothelial cells",0,0,0,0
"LCK","Epithelial cells",0,0,0,0
"LCK","Fibroblasts",0,0,0,0
"LCK","Mast cells",0,0,0,0
"LCK","Monocytes",0,0,0,0
"LCK","Myeloid (Mac/DC)",0,0,0,0
"LCK","NK cells",0.000106802457330479,0,0,0.112339425588678
"LCK","PDC/Plasma cells",0,0,0,0
"LCK","Pericytes",0,0,0,0
"LCK","TNK cells",0.00021426349490977,0.000304677364567741,0.000160688247527857,0.198457752504488
"LCK","Tregs",0.000264652143311946,0,0,0.202561703344928
"PTN","B cells",0,6.67665221414653e-05,0,0.089322438248459
"PTN","Basal epithelial",0,5.91356421477587e-05,0,0.0874254157851719
"PTN","CD4 T cells (Th)",0,0.000273884450174198,0,0.102509261496654
"PTN","CD8 T cells (CTL)",0,0.000269377704496916,0,0.102429979438925
"PTN","Endothelial cells",0,0.000121368009734876,0,0.0967439948001907
"PTN","Epithelial cells",0,8.37786635075429e-05,0,0.0925042116594183
"PTN","Fibroblasts",0.00104148455870786,6.52432870421745e-05,0.000214673850751765,0.10607400069189
"PTN","Mast cells",0,5.22690605619139e-05,0,0.0544827778533181
"PTN","Monocytes",0,1.97977383811585e-05,0,0.0310742381108153
"PTN","Myeloid (Mac/DC)",0,7.91837582080595e-05,0,0.0650548492731537
"PTN","NK cells",0,4.82492598282643e-05,0,0.0526198980085701
"PTN","PDC/Plasma cells",0,5.77621969618864e-06,0,0.0134234798287983
"PTN","Pericytes",0.000379050690063213,0.000110213672264989,0.000332009264111594,0.106335454804637
"PTN","TNK cells",0,7.55690584172043e-05,0,0
"PTN","Tregs",0,8.9922202168367e-05,0,0
"CXCL","B cells",0,4.53247202242622e-05,0,0.106431919558467
"CXCL","Basal epithelial",0,0,0,0
"CXCL","CD4 T cells (Th)",0,0.000178464243089967,0,0.239760690845815
"CXCL","CD8 T cells (CTL)",0,0.000171650633912935,0,0.235769526633807
"CXCL","Endothelial cells",0,0,0,0
"CXCL","Epithelial cells",0,0,0,0
"CXCL","Fibroblasts",0.000549218142997628,0,0,0.418037862961911
"CXCL","Mast cells",0,0,0,0
"CXCL","Monocytes",0,7.14734770919046e-06,0,0
"CXCL","Myeloid (Mac/DC)",0,3.04133373414369e-05,0,0
"CXCL","NK cells",0,1.80306841505563e-05,0,0
"CXCL","PDC/Plasma cells",0,3.94406837569153e-06,0,0
"CXCL","Pericytes",0,0,0,0
"CXCL","TNK cells",0,4.95919295721993e-05,0,0
"CXCL","Tregs",0,4.46511786213889e-05,0,0
"SELE","B cells",0,1.73974529011227e-05,0,0.149411258194826
"SELE","Basal epithelial",0,3.27276095234282e-06,0,0.04785842589948
"SELE","CD4 T cells (Th)",0,0.000193521471532499,0,0.270410127262962
"SELE","CD8 T cells (CTL)",0,7.22466472197256e-05,0,0.238397603525473
"SELE","Endothelial cells",0.000540267511019886,0,0,0.293922585117259
"SELE","Epithelial cells",0,0,0,0
"SELE","Fibroblasts",0,3.61111715506066e-06,0,0
"SELE","Mast cells",0,5.96605881902522e-05,0,0
"SELE","Monocytes",0,2.54840968654983e-05,0,0
"SELE","Myeloid (Mac/DC)",0,1.33289092797554e-05,0,0
"SELE","NK cells",0,1.24682679406915e-05,0,0
"SELE","PDC/Plasma cells",0,1.19832951632653e-06,0,0
"SELE","Pericytes",0,9.73938977651876e-06,0,0
"SELE","TNK cells",0,5.91252703144057e-05,0,0
